,station_name,station_name_eng,station_address,station_longitude,station_latitude,station_type,geometry
18,ด่านช้าง,Dan Chang,อ.ด่านช้าง จ.สุพรรณบุรี,99.75258199999999,14.852947,A3,POINT (99.75258199999999 14.852947)
19,ชัยบาดาล,Chai Badan,หมู่ที่ 5 ต.นิคมลำนารายณ์  อ.ชัยบาดาล  จ.ลพบุรี,101.14586,15.23785,A3,POINT (101.14586 15.23785)
20,โคกเจริญ,Khok Charoen,ต.โคกเจริญ อ.โคกเจริญ จ.ลพบุรี,100.83514100000001,15.414551999999999,A2,POINT (100.835141 15.414552)
21,ระยอง,Rayong,เขายายดา ต.บ้านเพ อ.เมือง จ.ระยอง ,101.412925,12.675987,M,POINT (101.412925 12.675987)
22,โป่งน้ำร้อน,Pong Nam Ron,ต.ทับไทร อ.โป่งน้ำร้อน จ.จันทบุรี ,102.274523,12.8897,A2,POINT (102.274523 12.8897)
23,จันทบุรี,Chanthaburi,ต.ท่าช้าง อ.เมือง จ.จันทบุรี ,102.090514,12.659358000000001,A3,POINT (102.090514 12.659358)
24,แก่งหางแมว,Kaeng Hang Maeo,หมู่ที่ 1 ต.แก่งหางแมว อ.แก่งหางแมว จ.จันทบุรี ,101.90871,13.01215,A3,POINT (101.90871 13.01215)
25,สระแก้ว,Sakaeo,2 ถ.คลองนางชิง ต.ท่าเกษม อ.เมือง จ.สระแก้ว,102.104231,13.804003,M,POINT (102.104231 13.804003)
26,ปราจีนบุรี,Prachin Buri,ค่ายพรหมโยธี ต.บ้านพระ อ.เมือง จ.ปราจีนบุรี ,101.373767,14.141941000000001,A1,POINT (101.373767 14.141941)
27,ตาพระยา,Ta Phraya,ต.ตาพระยา อ.ตาพระยา จ.สระแก้ว,102.804796,14.002854000000001,A2,POINT (102.804796 14.002854)
28,ตราด,Trat,เขาวงเวียน ต.บางปิด อ.แหลมงอบ จ.ตราด,102.29844,12.19551,M,POINT (102.29844 12.19551)
29,ประจวบคีรีขันธ์,Prachaub Khiri Khun,เขาทุ่งกระต่ายขัง ต.คั่นกะได อ.เมือง จ.ประจวบคีรีขันธ์,99.8013,11.90594,M,POINT (99.8013 11.90594)
